s_num,ep_num,nth_s_ep,seg_num,seg_name,seg_url
1,Special_1_with_Raymond_Burr,1,1,Don Kemp,https://unsolvedmysteries.fandom.com//wiki/Don_Kemp
1,Special_1_with_Raymond_Burr,1,2,Roger Wheeler,https://unsolvedmysteries.fandom.com//wiki/Roger_Wheeler
1,Special_1_with_Raymond_Burr,1,2,Brian Halloran,https://unsolvedmysteries.fandom.com//wiki/Brian_Halloran
1,Special_1_with_Raymond_Burr,1,2,John Callahan,https://unsolvedmysteries.fandom.com//wiki/John_Callahan
1,Special_1_with_Raymond_Burr,1,3,The Family of Pat Mealbach,https://unsolvedmysteries.fandom.com//wiki/The_Family_of_Pat_Mealbach
1,Special_1_with_Raymond_Burr,1,4,Terry Lee Conner and Joseph Dougherty,https://unsolvedmysteries.fandom.com//wiki/Terry_Lee_Conner_and_Joseph_Dougherty
1,Special_1_with_Raymond_Burr,1,5,Leo Koury,https://unsolvedmysteries.fandom.com//wiki/Leo_Koury
1,Special_1_with_Raymond_Burr,1,5,Donald Eugene Webb,https://unsolvedmysteries.fandom.com//wiki/Donald_Eugene_Webb
1,Special_1_with_Raymond_Burr,1,5,Victor Gerena,https://unsolvedmysteries.fandom.com//wiki/Victor_Gerena
1,Special_1_with_Raymond_Burr,1,5,Claude Dallas,https://unsolvedmysteries.fandom.com//wiki/Claude_Dallas
1,Special_1_with_Raymond_Burr,1,5,James Dyess,https://unsolvedmysteries.fandom.com//wiki/James_Dyess
1,Special_1_with_Raymond_Burr,1,5,Danny Weeks,https://unsolvedmysteries.fandom.com//wiki/Danny_Weeks
1,Special_1_with_Raymond_Burr,1,5,Thomas Harrelson,https://unsolvedmysteries.fandom.com//wiki/Thomas_Harrelson
1,Special_1_with_Raymond_Burr,1,5,Robert Litchfield,https://unsolvedmysteries.fandom.com//wiki/Robert_Litchfield
1,Special_2_with_Karl_Malden,2,1,Wanda Jean Mays,https://unsolvedmysteries.fandom.com//wiki/Wanda_Jean_Mays
1,Special_2_with_Karl_Malden,2,2,John Burns,https://unsolvedmysteries.fandom.com//wiki/John_Burns
1,Special_2_with_Karl_Malden,2,3,Kyra Cook,https://unsolvedmysteries.fandom.com//wiki/Kyra_Cook
1,Special_2_with_Karl_Malden,2,4,Rolex Robbers,https://unsolvedmysteries.fandom.com//wiki/Rolex_Robbers
1,Special_2_with_Karl_Malden,2,5,Robert Weeks,https://unsolvedmysteries.fandom.com//wiki/Robert_Weeks
1,Special_3_with_Karl_Malden,3,1,The Unabomber,https://unsolvedmysteries.fandom.com//wiki/The_Unabomber
1,Special_3_with_Karl_Malden,3,2,John Burns,https://unsolvedmysteries.fandom.com//wiki/John_Burns
